date,num_people,num_order
2020-03-30,982.0,205.0
2020-04-01,777.0,186.0
2020-04-02,859.0,180.0
2020-04-03,894.0,194.0
2020-04-04,1327.0,267.0
2020-04-05,1086.0,250.0
2020-04-06,1145.0,226.0
2020-04-07,854.0,176.0
2020-04-08,1187.0,228.0
2020-04-09,1108.0,206.0
2020-04-10,1187.0,230.0
2020-04-11,1254.0,200.0
2020-04-12,1593.0,264.0
2020-04-13,833.0,167.0
2020-04-14,1239.0,245.0
2020-04-15,1145.0,222.0
2020-04-16,1368.0,262.0
2020-04-17,1166.0,251.0
2020-04-18,1191.0,234.0
2020-04-19,1405.0,277.0
2020-04-20,984.0,220.0
2020-04-21,750.0,175.0
2020-04-22,974.0,180.0
2020-04-23,990.0,165.0
2020-04-24,1244.0,238.0
2020-04-25,1362.0,259.0
2020-04-26,1574.0,305.0
2020-04-27,1453.0,256.0
2020-04-28,1300.0,288.0
2020-04-29,1458.0,259.0
2020-05-01,1989.0,343.0
2020-05-02,1898.0,338.0
2020-05-03,2041.0,319.0
2020-05-04,2131.0,353.0
2020-05-05,2156.0,439.0
2020-05-06,1551.0,275.0
2020-05-07,1423.0,288.0
2020-05-08,1377.0,278.0
2020-05-09,1247.0,241.0
2020-05-10,2183.0,338.0
2020-05-11,1273.0,211.0
2020-05-12,1127.0,198.0
2020-05-13,1176.0,236.0
2020-05-14,1184.0,216.0
2020-05-15,1358.0,269.0
2020-05-16,1666.0,313.0
2020-05-17,1380.0,331.0
2020-05-18,1275.0,253.0
2020-05-19,1211.0,216.0
2020-05-20,2074.0,344.0
2020-05-21,976.0,190.0
2020-05-22,1152.0,231.0
2020-05-23,1652.0,318.0
2020-05-24,1481.0,289.0
2020-05-25,926.0,211.0
2020-05-26,1083.0,223.0
2020-05-27,912.0,188.0
2020-05-28,879.0,198.0
2020-05-29,1462.0,299.0
2020-05-30,1877.0,358.0
2020-06-01,1294.0,234.0
2020-06-02,912.0,180.0
2020-06-03,1060.0,200.0
2020-06-04,1099.0,215.0
2020-06-05,1268.0,267.0
2020-06-06,1757.0,293.0
2020-06-07,1915.0,354.0
2020-06-08,1097.0,175.0
2020-06-09,1001.0,201.0
2020-06-10,1072.0,207.0
2020-06-11,1208.0,235.0
2020-06-12,1490.0,266.0
2020-06-13,1754.0,316.0
2020-06-14,1837.0,314.0
2020-06-15,1255.0,261.0
2020-06-16,1156.0,242.0
2020-06-17,1086.0,207.0
2020-06-18,1325.0,278.0
2020-06-19,1674.0,253.0
2020-06-20,1902.0,328.0
2020-06-21,1420.0,310.0
2020-06-22,967.0,173.0
2020-06-23,850.0,179.0
2020-06-24,1490.0,247.0
2020-06-25,2183.0,329.0
2020-06-26,1692.0,321.0
2020-06-27,1637.0,294.0
2020-06-28,1101.0,234.0
2020-06-29,1018.0,200.0
2020-07-01,1071.0,203.0
2020-07-02,1466.0,221.0
2020-07-03,1427.0,242.0
2020-07-04,1711.0,272.0
2020-07-05,1957.0,340.0
2020-07-06,1145.0,190.0
2020-07-07,892.0,159.0
2020-07-08,1177.0,218.0
2020-07-09,1434.0,249.0
2020-07-10,1469.0,242.0
2020-07-11,2120.0,308.0
2020-07-12,1553.0,309.0
2020-07-13,1425.0,241.0
2020-07-14,1569.0,256.0
2020-07-15,1684.0,263.0
2020-07-16,1594.0,286.0
2020-07-17,1261.0,193.0
2020-07-18,1948.0,304.0
2020-07-19,2208.0,353.0
2020-07-20,963.0,203.0
2020-07-21,1529.0,253.0
2020-07-22,1277.0,259.0
2020-07-23,2079.0,332.0
2020-07-24,1878.0,281.0
2020-07-25,1872.0,304.0
2020-07-26,1580.0,310.0
2020-07-27,1377.0,272.0
2020-07-28,1605.0,275.0
2020-07-29,1580.0,279.0
2020-07-30,1396.0,263.0
2020-08-01,1520.0,392.0
2020-08-02,1144.0,328.0
2020-08-03,839.0,274.0
2020-08-04,947.0,285.0
2020-08-05,946.0,300.0
2020-08-06,780.0,242.0
2020-08-07,911.0,264.0
2020-08-08,954.0,307.0
2020-08-09,1135.0,307.0
2020-08-10,898.0,272.0
2020-08-11,911.0,294.0
2020-08-12,893.0,265.0
2020-08-13,918.0,250.0
2020-08-14,970.0,304.0
2020-08-15,1179.0,346.0
2020-08-16,978.0,329.0
2020-08-17,764.0,244.0
2020-08-18,891.0,240.0
2020-08-19,886.0,262.0
2020-08-20,772.0,257.0
2020-08-21,1043.0,281.0
2020-08-22,1171.0,337.0
2020-08-23,1199.0,342.0
2020-08-24,860.0,263.0
2020-08-25,1637.0,427.0
2020-08-26,955.0,285.0
2020-08-27,972.0,264.0
2020-08-28,777.0,232.0
2020-08-29,1314.0,343.0
2020-08-30,1079.0,367.0
2020-09-01,676.0,212.0
2020-09-02,672.0,189.0
2020-09-03,739.0,211.0
2020-09-04,839.0,245.0
2020-09-05,1333.0,358.0
2020-09-06,1117.0,309.0
2020-09-07,596.0,167.0
2020-09-08,525.0,168.0
2020-09-09,723.0,162.0
2020-09-10,522.0,176.0
2020-09-11,754.0,251.0
2020-09-12,1246.0,345.0
2020-09-13,892.0,212.0
2020-09-14,419.0,163.0
2020-09-15,617.0,227.0
2020-09-16,579.0,184.0
2020-09-17,501.0,152.0
2020-09-18,799.0,234.0
2020-09-19,1018.0,298.0
2020-09-20,1211.0,326.0
2020-09-21,510.0,174.0
2020-09-22,505.0,172.0
2020-09-23,473.0,164.0
2020-09-24,612.0,183.0
2020-09-25,719.0,175.0
2020-09-26,1073.0,295.0
2020-09-27,768.0,201.0
2020-09-28,571.0,175.0
2020-09-29,726.0,241.0
2020-10-01,1322.0,318.0
2020-10-02,1560.0,363.0
2020-10-03,1422.0,335.0
2020-10-04,1088.0,314.0
2020-10-05,1101.0,320.0
2020-10-06,931.0,257.0
2020-10-07,1200.0,341.0
2020-10-08,943.0,268.0
2020-10-09,679.0,201.0
2020-10-10,699.0,205.0
2020-10-11,900.0,264.0
2020-10-12,539.0,173.0
2020-10-13,550.0,193.0
2020-10-14,517.0,174.0
2020-10-15,471.0,172.0
2020-10-16,829.0,229.0
2020-10-17,1060.0,256.0
2020-10-18,1057.0,324.0
2020-10-19,499.0,185.0
2020-10-20,519.0,193.0
2020-10-21,783.0,218.0
2020-10-22,720.0,247.0
2020-10-23,1002.0,306.0
2020-10-24,1613.0,429.0
2020-10-25,1140.0,350.0
2020-10-26,557.0,195.0
2020-10-27,503.0,159.0
2020-10-28,462.0,173.0
2020-10-29,572.0,197.0
2020-10-30,871.0,269.0
2020-11-01,1056.0,310.0
2020-11-02,609.0,193.0
2020-11-03,531.0,173.0
2020-11-04,614.0,191.0
2020-11-05,739.0,261.0
2020-11-06,729.0,258.0
2020-11-07,1342.0,351.0
2020-11-08,999.0,331.0
2020-11-09,501.0,202.0
2020-11-10,710.0,227.0
2020-11-11,905.0,297.0
2020-11-12,582.0,201.0
2020-11-13,650.0,213.0
2020-11-14,1276.0,341.0
2020-11-15,987.0,372.0
2020-11-16,447.0,176.0
2020-11-17,597.0,215.0
2020-11-18,514.0,194.0
2020-11-19,434.0,177.0
2020-11-20,624.0,213.0
2020-11-21,954.0,334.0
2020-11-22,783.0,259.0
2020-11-23,424.0,150.0
2020-11-24,392.0,164.0
2020-11-25,487.0,161.0
2020-11-26,500.0,171.0
2020-11-27,611.0,206.0
2020-11-28,1011.0,318.0
2020-11-29,924.0,298.0
2020-12-01,523.0,195.0
2020-12-02,512.0,218.0
2020-12-03,565.0,192.0
2020-12-04,787.0,234.0
2020-12-05,1259.0,415.0
2020-12-06,815.0,263.0
2020-12-07,403.0,163.0
2020-12-08,552.0,191.0
2020-12-09,459.0,180.0
2020-12-10,519.0,189.0
2020-12-11,625.0,201.0
2020-12-12,1143.0,283.0
2020-12-13,798.0,251.0
2020-12-14,388.0,136.0
2020-12-15,528.0,183.0
2020-12-16,561.0,157.0
2020-12-17,742.0,222.0
2020-12-18,852.0,232.0
2020-12-19,948.0,294.0
2020-12-20,1013.0,294.0
2020-12-21,515.0,179.0
2020-12-22,474.0,173.0
2020-12-23,581.0,188.0
2020-12-24,900.0,283.0
2020-12-25,983.0,297.0
2020-12-26,1161.0,342.0
2020-12-27,982.0,321.0
2020-12-28,472.0,171.0
2020-12-29,513.0,164.0
2020-12-30,628.0,203.0
2021-01-01,1238.0,350.0
2021-01-02,1011.0,300.0
2021-01-03,932.0,282.0
2021-01-04,507.0,171.0
2021-01-05,619.0,230.0
2021-01-06,15087.0,162.0
2021-01-07,2317.0,164.0
2021-01-08,2671.0,213.0
2021-01-09,3537.0,239.0
2021-01-10,6682.0,291.0
2021-01-11,2474.0,222.0
2021-01-12,1305.0,248.0
2021-01-13,869.0,247.0
2021-01-14,971.0,245.0
2021-01-15,848.0,295.0
2021-01-16,734.0,252.0
2021-01-17,2258.0,279.0
2021-01-18,1103.0,268.0
2021-01-19,1065.0,235.0
2021-01-20,632.0,204.0
2021-01-21,834.0,203.0
2021-01-22,938.0,286.0
2021-01-23,1164.0,321.0
